0 info it worked if it ends with ok
1 verbose cli [ 'nodejs', '/usr/bin/npm', 'update', '-g', 'yeoman' ]
2 info using npm@1.1.65
3 info using node@v0.8.14
4 verbose read json /usr/lib/package.json
5 verbose read json /usr/lib/node_modules/bower/package.json
6 verbose read json /usr/lib/node_modules/yeoman/package.json
7 verbose read json /usr/lib/node_modules/yo/package.json
8 verbose read json /usr/lib/node_modules/generator-webapp/package.json
9 verbose read json /usr/lib/node_modules/jake/package.json
10 verbose read json /usr/lib/node_modules/grunt-cli/package.json
11 verbose read json /usr/lib/node_modules/generator-angular/package.json
12 verbose read json /usr/lib/node_modules/xml2js/package.json
13 verbose read json /usr/lib/node_modules/geddy/package.json
14 verbose from cache /usr/lib/node_modules/bower/package.json
15 verbose cache add [ 'yeoman', '*' ]
16 silly cache add name="yeoman" spec="*" args=["yeoman","*"]
17 verbose parsed url { pathname: '*', path: '*', href: '*' }
18 verbose addNamed [ 'yeoman', '*' ]
19 verbose addNamed [ null, '' ]
20 verbose from cache /usr/lib/node_modules/yo/package.json
21 verbose from cache /usr/lib/node_modules/generator-webapp/package.json
22 verbose from cache /usr/lib/node_modules/grunt-cli/package.json
23 verbose from cache /usr/lib/node_modules/generator-angular/package.json
24 verbose from cache /usr/lib/node_modules/jake/package.json
25 verbose from cache /usr/lib/node_modules/xml2js/package.json
26 verbose from cache /usr/lib/node_modules/geddy/package.json
27 verbose read json /usr/lib/node_modules/bower/node_modules/update-notifier/package.json
28 verbose read json /usr/lib/node_modules/bower/node_modules/tmp/package.json
29 verbose read json /usr/lib/node_modules/bower/node_modules/abbrev/package.json
30 verbose read json /usr/lib/node_modules/bower/node_modules/nopt/package.json
31 verbose read json /usr/lib/node_modules/bower/node_modules/tar/package.json
32 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/package.json
33 verbose read json /usr/lib/node_modules/bower/node_modules/rimraf/package.json
34 verbose read json /usr/lib/node_modules/bower/node_modules/fstream/package.json
35 verbose read json /usr/lib/node_modules/bower/node_modules/colors/package.json
36 verbose read json /usr/lib/node_modules/bower/node_modules/lodash/package.json
37 verbose read json /usr/lib/node_modules/bower/node_modules/mkdirp/package.json
38 verbose read json /usr/lib/node_modules/bower/node_modules/semver/package.json
39 verbose read json /usr/lib/node_modules/bower/node_modules/rc/package.json
40 verbose read json /usr/lib/node_modules/bower/node_modules/stable/package.json
41 verbose read json /usr/lib/node_modules/bower/node_modules/which/package.json
42 verbose read json /usr/lib/node_modules/bower/node_modules/archy/package.json
43 verbose read json /usr/lib/node_modules/bower/node_modules/.bin/package.json
44 verbose read json /usr/lib/node_modules/bower/node_modules/promptly/package.json
45 verbose read json /usr/lib/node_modules/bower/node_modules/glob/package.json
46 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/package.json
47 verbose read json /usr/lib/node_modules/bower/node_modules/async/package.json
48 verbose read json /usr/lib/node_modules/bower/node_modules/request/package.json
49 verbose read json /usr/lib/node_modules/bower/node_modules/hogan.js/package.json
50 verbose read json /usr/lib/node_modules/yo/node_modules/update-notifier/package.json
51 verbose read json /usr/lib/node_modules/yo/node_modules/nopt/package.json
52 verbose read json /usr/lib/node_modules/yo/node_modules/colors/package.json
53 verbose read json /usr/lib/node_modules/yo/node_modules/lodash/package.json
54 verbose read json /usr/lib/node_modules/yo/node_modules/open/package.json
55 verbose read json /usr/lib/node_modules/yo/node_modules/sudo-block/package.json
56 verbose read json /usr/lib/node_modules/yo/node_modules/insight/package.json
57 verbose read json /usr/lib/node_modules/yo/node_modules/.bin/package.json
58 verbose read json /usr/lib/node_modules/yo/node_modules/async/package.json
59 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/package.json
60 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/cheerio/package.json
61 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/package.json
62 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/nopt/package.json
63 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/.bin/package.json
64 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/findup-sync/package.json
65 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/resolve/package.json
66 verbose read json /usr/lib/node_modules/generator-angular/node_modules/yeoman-generator/package.json
67 verbose read json /usr/lib/node_modules/xml2js/node_modules/sax/package.json
68 silly lockFile fd94f358-yeoman yeoman@*
69 verbose lock yeoman@* /home/billpull/.npm/fd94f358-yeoman.lock
70 silly addNameRange { name: 'yeoman', range: '', hasData: false }
71 verbose url raw yeoman
72 verbose url resolving [ 'https://registry.npmjs.org/', './yeoman' ]
73 verbose url resolved https://registry.npmjs.org/yeoman
74 info trying registry request attempt 1 at 12:26:51
75 verbose etag "99QKV5PNKOYUJYR0ALW3AXZEF"
76 http GET https://registry.npmjs.org/yeoman
77 verbose from cache /usr/lib/node_modules/bower/node_modules/abbrev/package.json
78 verbose from cache /usr/lib/node_modules/bower/node_modules/archy/package.json
79 verbose from cache /usr/lib/node_modules/bower/node_modules/async/package.json
80 verbose from cache /usr/lib/node_modules/bower/node_modules/colors/package.json
81 verbose from cache /usr/lib/node_modules/bower/node_modules/fstream/package.json
82 verbose from cache /usr/lib/node_modules/bower/node_modules/glob/package.json
83 verbose from cache /usr/lib/node_modules/bower/node_modules/hogan.js/package.json
84 verbose from cache /usr/lib/node_modules/bower/node_modules/lodash/package.json
85 verbose from cache /usr/lib/node_modules/bower/node_modules/mkdirp/package.json
86 verbose from cache /usr/lib/node_modules/bower/node_modules/nopt/package.json
87 verbose from cache /usr/lib/node_modules/bower/node_modules/promptly/package.json
88 verbose from cache /usr/lib/node_modules/bower/node_modules/rc/package.json
89 verbose from cache /usr/lib/node_modules/bower/node_modules/read-package-json/package.json
90 verbose from cache /usr/lib/node_modules/bower/node_modules/request/package.json
91 verbose from cache /usr/lib/node_modules/bower/node_modules/rimraf/package.json
92 verbose from cache /usr/lib/node_modules/bower/node_modules/semver/package.json
93 verbose from cache /usr/lib/node_modules/bower/node_modules/stable/package.json
94 verbose from cache /usr/lib/node_modules/bower/node_modules/tar/package.json
95 verbose from cache /usr/lib/node_modules/bower/node_modules/tmp/package.json
96 verbose from cache /usr/lib/node_modules/bower/node_modules/unzip/package.json
97 verbose from cache /usr/lib/node_modules/bower/node_modules/update-notifier/package.json
98 verbose from cache /usr/lib/node_modules/bower/node_modules/which/package.json
99 verbose from cache /usr/lib/node_modules/yo/node_modules/yeoman-generator/package.json
100 verbose from cache /usr/lib/node_modules/yo/node_modules/colors/package.json
101 verbose from cache /usr/lib/node_modules/yo/node_modules/nopt/package.json
102 verbose from cache /usr/lib/node_modules/yo/node_modules/lodash/package.json
103 verbose from cache /usr/lib/node_modules/yo/node_modules/update-notifier/package.json
104 verbose from cache /usr/lib/node_modules/yo/node_modules/insight/package.json
105 verbose from cache /usr/lib/node_modules/yo/node_modules/sudo-block/package.json
106 verbose from cache /usr/lib/node_modules/yo/node_modules/async/package.json
107 verbose from cache /usr/lib/node_modules/yo/node_modules/open/package.json
108 verbose from cache /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/package.json
109 verbose from cache /usr/lib/node_modules/generator-webapp/node_modules/cheerio/package.json
110 verbose from cache /usr/lib/node_modules/grunt-cli/node_modules/nopt/package.json
111 verbose from cache /usr/lib/node_modules/grunt-cli/node_modules/findup-sync/package.json
112 verbose from cache /usr/lib/node_modules/grunt-cli/node_modules/resolve/package.json
113 verbose from cache /usr/lib/node_modules/generator-angular/node_modules/yeoman-generator/package.json
114 verbose read json /usr/lib/node_modules/geddy/node_modules/jake/package.json
115 verbose read json /usr/lib/node_modules/bower/node_modules/fstream/node_modules/inherits/package.json
116 verbose read json /usr/lib/node_modules/bower/node_modules/fstream/node_modules/graceful-fs/package.json
117 verbose read json /usr/lib/node_modules/bower/node_modules/glob/node_modules/inherits/package.json
118 verbose read json /usr/lib/node_modules/bower/node_modules/glob/node_modules/minimatch/package.json
119 verbose read json /usr/lib/node_modules/bower/node_modules/glob/node_modules/graceful-fs/package.json
120 verbose read json /usr/lib/node_modules/bower/node_modules/nopt/node_modules/abbrev/package.json
121 verbose read json /usr/lib/node_modules/bower/node_modules/promptly/node_modules/read/package.json
122 verbose read json /usr/lib/node_modules/bower/node_modules/rc/node_modules/deep-extend/package.json
123 verbose read json /usr/lib/node_modules/bower/node_modules/rc/node_modules/optimist/package.json
124 verbose read json /usr/lib/node_modules/bower/node_modules/rc/node_modules/ini/package.json
125 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/lru-cache/package.json
126 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/npmlog/package.json
127 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/semver/package.json
128 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/.bin/package.json
129 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/slide/package.json
130 verbose read json /usr/lib/node_modules/bower/node_modules/read-package-json/node_modules/graceful-fs/package.json
131 verbose read json /usr/lib/node_modules/bower/node_modules/request/node_modules/form-data/package.json
132 verbose read json /usr/lib/node_modules/bower/node_modules/request/node_modules/mime/package.json
133 verbose read json /usr/lib/node_modules/bower/node_modules/rimraf/node_modules/graceful-fs/package.json
134 verbose read json /usr/lib/node_modules/bower/node_modules/tar/node_modules/inherits/package.json
135 verbose read json /usr/lib/node_modules/bower/node_modules/tar/node_modules/block-stream/package.json
136 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/node_modules/pullstream/package.json
137 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/node_modules/readable-stream/package.json
138 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/node_modules/setimmediate/package.json
139 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/node_modules/match-stream/package.json
140 verbose read json /usr/lib/node_modules/bower/node_modules/unzip/node_modules/binary/package.json
141 verbose read json /usr/lib/node_modules/bower/node_modules/update-notifier/node_modules/configstore/package.json
142 verbose read json /usr/lib/node_modules/bower/node_modules/update-notifier/node_modules/semver/package.json
143 verbose read json /usr/lib/node_modules/bower/node_modules/update-notifier/node_modules/.bin/package.json
144 verbose read json /usr/lib/node_modules/bower/node_modules/update-notifier/node_modules/request/package.json
145 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/tar/package.json
146 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/rimraf/package.json
147 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/lodash/package.json
148 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/dargs/package.json
149 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/mkdirp/package.json
150 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/inquirer/package.json
151 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/mime/package.json
152 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/cli-table/package.json
153 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/.bin/package.json
154 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/cheerio/package.json
155 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/diff/package.json
156 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/glob/package.json
157 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/underscore.string/package.json
158 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/isbinaryfile/package.json
159 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/shelljs/package.json
160 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/iconv-lite/package.json
161 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/debug/package.json
162 verbose read json /usr/lib/node_modules/yo/node_modules/yeoman-generator/node_modules/request/package.json
163 verbose read json /usr/lib/node_modules/yo/node_modules/nopt/node_modules/abbrev/package.json
164 verbose read json /usr/lib/node_modules/yo/node_modules/update-notifier/node_modules/configstore/package.json
165 verbose read json /usr/lib/node_modules/yo/node_modules/update-notifier/node_modules/semver/package.json
166 verbose read json /usr/lib/node_modules/yo/node_modules/update-notifier/node_modules/.bin/package.json
167 verbose read json /usr/lib/node_modules/yo/node_modules/update-notifier/node_modules/request/package.json
168 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/configstore/package.json
169 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/lodash/package.json
170 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/inquirer/package.json
171 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/.bin/package.json
172 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/async/package.json
173 verbose read json /usr/lib/node_modules/yo/node_modules/insight/node_modules/request/package.json
174 verbose read json /usr/lib/node_modules/yo/node_modules/sudo-block/node_modules/colors/package.json
175 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/nopt/package.json
176 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/tar/package.json
177 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/rimraf/package.json
178 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/lodash/package.json
179 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/dargs/package.json
180 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/mkdirp/package.json
181 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/inquirer/package.json
182 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/mime/package.json
183 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/cli-table/package.json
184 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/.bin/package.json
185 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/cheerio/package.json
186 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/diff/package.json
187 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/glob/package.json
188 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/underscore.string/package.json
189 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/isbinaryfile/package.json
190 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/async/package.json
191 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/shelljs/package.json
192 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/iconv-lite/package.json
193 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/debug/package.json
194 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/yeoman-generator/node_modules/request/package.json
195 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/cheerio/node_modules/htmlparser2/package.json
196 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/cheerio/node_modules/underscore/package.json
197 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/cheerio/node_modules/entities/package.json
198 verbose read json /usr/lib/node_modules/generator-webapp/node_modules/cheerio/node_modules/cheerio-select/package.json
199 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/nopt/node_modules/abbrev/package.json
200 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/findup-sync/node_modules/lodash/package.json
201 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/findup-sync/node_modules/.bin/package.json
202 verbose read json /usr/lib/node_modules/grunt-cli/node_modules/findup-sync/node_modules/glob/package.json
203 verbose read json /usr/lib/node_modules/generator-angular/node_modules/yeoman-generator/node_modules/nopt/package.json
204 verbose read json /usr/lib/node_modules/generator-angular/node_modules/yeoman-generator/node_modules/tar/package.json
